# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.284999999999999984e-04,4.518099999999999720e-03
2.000000000000000000e+02,9.592000000000000049e-04,6.152999999999999615e-03
5.000000000000000000e+02,2.623100000000000171e-03,1.033700000000000070e-02
1.000000000000000000e+03,5.230600000000000180e-03,1.429689999999999954e-02
2.000000000000000000e+03,1.123640000000000055e-02,2.106279999999999958e-02
5.000000000000000000e+03,2.731959999999999944e-02,3.228659999999999863e-02
1.000000000000000000e+04,5.355080000000000257e-02,4.494909999999999878e-02
2.000000000000000000e+04,1.045724999999999988e-01,5.542960000000000248e-02
5.000000000000000000e+04,2.471354000000000051e-01,8.280919999999999948e-02
1.000000000000000000e+05,4.613166000000000211e-01,1.031672000000000006e-01
