# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.197830000000000117e-02,3.002049999999999857e-02
2.000000000000000000e+02,6.246220000000000244e-02,4.348699999999999788e-02
5.000000000000000000e+02,1.542743000000000031e-01,6.445629999999999415e-02
1.000000000000000000e+03,2.958362999999999965e-01,9.201230000000000520e-02
2.000000000000000000e+03,5.592470999999999970e-01,1.254010999999999876e-01
5.000000000000000000e+03,1.210322899999999979e+00,1.596074000000000104e-01
1.000000000000000000e+04,2.108216899999999949e+00,2.129875999999999991e-01
2.000000000000000000e+04,3.368796899999999983e+00,2.458200000000000107e-01
5.000000000000000000e+04,5.937984300000000104e+00,3.141528000000000098e-01
1.000000000000000000e+05,8.380379400000000700e+00,3.203343000000000163e-01
1.000000000000000000e+06,1.400202179999999963e+01,2.359845999999999888e-01
