# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.757999999999999818e-04,3.491199999999999859e-03
2.000000000000000000e+02,4.626000000000000229e-04,4.512000000000000385e-03
5.000000000000000000e+02,1.267600000000000020e-03,7.480399999999999897e-03
1.000000000000000000e+03,2.419500000000000210e-03,1.039640000000000009e-02
2.000000000000000000e+03,5.208199999999999635e-03,1.502919999999999950e-02
5.000000000000000000e+03,1.240879999999999934e-02,2.352440000000000087e-02
1.000000000000000000e+04,2.601409999999999834e-02,3.374300000000000216e-02
2.000000000000000000e+04,5.105409999999999809e-02,4.722900000000000015e-02
5.000000000000000000e+04,1.278910000000000047e-01,7.412180000000000157e-02
1.000000000000000000e+05,2.509395999999999849e-01,9.322880000000000056e-02
