# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.727749999999999897e-02,4.887650000000000328e-02
2.000000000000000000e+02,1.515751999999999933e-01,6.784270000000000578e-02
5.000000000000000000e+02,3.587680999999999787e-01,1.085800999999999988e-01
1.000000000000000000e+03,6.853833000000000286e-01,1.306842000000000004e-01
2.000000000000000000e+03,1.146717800000000009e+00,1.661793000000000020e-01
5.000000000000000000e+03,2.027375600000000055e+00,1.751553999999999889e-01
1.000000000000000000e+04,2.801760900000000110e+00,1.748082999999999998e-01
2.000000000000000000e+04,3.466582600000000181e+00,1.675822999999999896e-01
5.000000000000000000e+04,4.364342800000000189e+00,1.650990999999999986e-01
1.000000000000000000e+05,4.936967300000000058e+00,1.447331000000000034e-01
1.000000000000000000e+06,6.613438000000000372e+00,1.603642000000000123e-01
