# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.666000000000000029e-04,3.459999999999999968e-03
2.000000000000000000e+02,1.105499999999999929e-03,4.902899999999999966e-03
5.000000000000000000e+02,2.733100000000000026e-03,7.615799999999999827e-03
1.000000000000000000e+03,5.652899999999999765e-03,1.105519999999999940e-02
2.000000000000000000e+03,1.098659999999999914e-02,1.537829999999999926e-02
5.000000000000000000e+03,2.787620000000000028e-02,2.435810000000000058e-02
1.000000000000000000e+04,5.499269999999999853e-02,3.368249999999999716e-02
2.000000000000000000e+04,1.074927999999999995e-01,4.102170000000000122e-02
5.000000000000000000e+04,2.593778999999999946e-01,6.290149999999999908e-02
1.000000000000000000e+05,4.780865000000000253e-01,7.912450000000000039e-02
