# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.542000000000000076e-04,3.534799999999999835e-03
2.000000000000000000e+02,2.679000000000000066e-04,4.655199999999999963e-03
5.000000000000000000e+02,9.009999999999999997e-04,8.581399999999999445e-03
1.000000000000000000e+03,1.607200000000000035e-03,1.159579999999999986e-02
2.000000000000000000e+03,3.092600000000000036e-03,1.599880000000000052e-02
5.000000000000000000e+03,8.287499999999999728e-03,2.603489999999999971e-02
1.000000000000000000e+04,1.631540000000000074e-02,3.675160000000000232e-02
2.000000000000000000e+04,3.271190000000000209e-02,5.173280000000000239e-02
5.000000000000000000e+04,8.319210000000000493e-02,8.237469999999999515e-02
1.000000000000000000e+05,1.634052000000000004e-01,1.146187000000000039e-01
