# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.594577999999999940e-01,1.022411000000000014e-01
2.000000000000000000e+02,6.471179999999999710e-01,1.245174000000000003e-01
5.000000000000000000e+02,1.208715299999999937e+00,1.597512000000000099e-01
1.000000000000000000e+03,1.710456699999999941e+00,1.277384000000000019e-01
2.000000000000000000e+03,2.131841099999999933e+00,1.324327999999999894e-01
5.000000000000000000e+03,2.499253500000000017e+00,9.560979999999999479e-02
1.000000000000000000e+04,2.717680399999999885e+00,9.638819999999999333e-02
2.000000000000000000e+04,2.956418000000000212e+00,1.095449000000000006e-01
5.000000000000000000e+04,3.494465400000000166e+00,1.097778999999999977e-01
1.000000000000000000e+05,3.787457600000000202e+00,1.230809999999999960e-01
1.000000000000000000e+06,4.739209299999999736e+00,9.433289999999999731e-02
