# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.035240000000000160e-01,8.365039999999999976e-02
2.000000000000000000e+02,5.186574000000000462e-01,1.103515000000000051e-01
5.000000000000000000e+02,1.121883399999999975e+00,1.499022999999999883e-01
1.000000000000000000e+03,1.569741499999999901e+00,1.397053000000000045e-01
2.000000000000000000e+03,2.004233099999999990e+00,1.197679999999999995e-01
5.000000000000000000e+03,2.393674700000000044e+00,8.880589999999999318e-02
1.000000000000000000e+04,2.605381799999999970e+00,8.399539999999999784e-02
2.000000000000000000e+04,2.766500399999999971e+00,8.929570000000000563e-02
5.000000000000000000e+04,3.078807900000000153e+00,1.048073000000000060e-01
1.000000000000000000e+05,3.393915499999999863e+00,1.205312000000000050e-01
1.000000000000000000e+06,4.563469200000000114e+00,1.285177999999999876e-01
