# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.910999999999999567e-04,4.437400000000000198e-03
2.000000000000000000e+02,8.888000000000000284e-04,6.022699999999999755e-03
5.000000000000000000e+02,2.313400000000000178e-03,9.583100000000000646e-03
1.000000000000000000e+03,4.764799999999999591e-03,1.402540000000000037e-02
2.000000000000000000e+03,9.773199999999999249e-03,2.004879999999999857e-02
5.000000000000000000e+03,2.373899999999999968e-02,3.135919999999999680e-02
1.000000000000000000e+04,4.838710000000000233e-02,3.792299999999999838e-02
2.000000000000000000e+04,9.509810000000000485e-02,5.679250000000000270e-02
5.000000000000000000e+04,2.236316999999999888e-01,8.026160000000000239e-02
1.000000000000000000e+05,4.276147000000000142e-01,1.112913999999999987e-01
