# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.408000000000000263e-04,4.187100000000000023e-03
2.000000000000000000e+02,1.068699999999999902e-03,5.856499999999999727e-03
5.000000000000000000e+02,2.958399999999999919e-03,9.595700000000000410e-03
1.000000000000000000e+03,6.055200000000000166e-03,1.395470000000000044e-02
2.000000000000000000e+03,1.137310000000000057e-02,1.945579999999999879e-02
5.000000000000000000e+03,2.811369999999999841e-02,2.979369999999999935e-02
1.000000000000000000e+04,5.610280000000000128e-02,4.155090000000000172e-02
2.000000000000000000e+04,1.107053999999999955e-01,5.874580000000000080e-02
5.000000000000000000e+04,2.671575999999999951e-01,8.387690000000000423e-02
1.000000000000000000e+05,5.148975999999999553e-01,1.062575000000000047e-01
