# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.715550000000000103e-02,4.506570000000000020e-02
2.000000000000000000e+02,7.603559999999999486e-02,6.356660000000000088e-02
5.000000000000000000e+02,1.951961000000000113e-01,9.260939999999999450e-02
1.000000000000000000e+03,4.006541000000000130e-01,1.338042999999999871e-01
2.000000000000000000e+03,8.310572999999999988e-01,1.880506999999999873e-01
5.000000000000000000e+03,2.375132999999999939e+00,3.448035999999999879e-01
1.000000000000000000e+04,4.974309200000000430e+00,3.878212999999999799e-01
2.000000000000000000e+04,7.361947599999999703e+00,3.080808999999999909e-01
5.000000000000000000e+04,9.215862800000000021e+00,2.327355000000000118e-01
1.000000000000000000e+05,1.008464230000000050e+01,2.127304999999999890e-01
1.000000000000000000e+06,1.215168560000000042e+01,1.767028999999999961e-01
