# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.631800000000000174e-03,1.345080000000000060e-02
2.000000000000000000e+02,1.154230000000000013e-02,1.914309999999999970e-02
5.000000000000000000e+02,2.902069999999999997e-02,3.047969999999999846e-02
1.000000000000000000e+03,5.876540000000000236e-02,4.281200000000000283e-02
2.000000000000000000e+03,1.183349999999999957e-01,5.532789999999999930e-02
5.000000000000000000e+03,2.957365000000000133e-01,8.610399999999999998e-02
1.000000000000000000e+04,5.942528999999999728e-01,1.166745000000000004e-01
2.000000000000000000e+04,1.190387199999999979e+00,1.699267999999999890e-01
5.000000000000000000e+04,2.912377100000000052e+00,2.521941999999999795e-01
1.000000000000000000e+05,4.895456399999999597e+00,2.618675999999999782e-01
1.000000000000000000e+06,9.643970200000000048e+00,1.693452000000000013e-01
