# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.596999999999999803e-04,4.621100000000000381e-03
2.000000000000000000e+02,1.660500000000000084e-03,6.832900000000000258e-03
5.000000000000000000e+02,4.049699999999999828e-03,1.056050000000000044e-02
1.000000000000000000e+03,8.277299999999999588e-03,1.520780000000000048e-02
2.000000000000000000e+03,1.581689999999999832e-02,2.086239999999999969e-02
5.000000000000000000e+03,4.007949999999999707e-02,3.319930000000000103e-02
1.000000000000000000e+04,7.877960000000000518e-02,4.087230000000000030e-02
2.000000000000000000e+04,1.521994000000000125e-01,5.394759999999999833e-02
5.000000000000000000e+04,3.550194999999999879e-01,8.346739999999999715e-02
1.000000000000000000e+05,6.266736000000000528e-01,1.061026999999999942e-01
