# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.744999999999999869e-04,3.794099999999999903e-03
2.000000000000000000e+02,9.520999999999999949e-04,5.420200000000000018e-03
5.000000000000000000e+02,2.375599999999999847e-03,8.536500000000000685e-03
1.000000000000000000e+03,4.464700000000000266e-03,1.180969999999999936e-02
2.000000000000000000e+03,9.320699999999999472e-03,1.699410000000000157e-02
5.000000000000000000e+03,2.322619999999999893e-02,2.668749999999999942e-02
1.000000000000000000e+04,4.576229999999999881e-02,3.702830000000000010e-02
2.000000000000000000e+04,8.855119999999999658e-02,4.451009999999999689e-02
5.000000000000000000e+04,2.116275999999999990e-01,6.934129999999999461e-02
1.000000000000000000e+05,3.985716000000000259e-01,9.046049999999999924e-02
