# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.100530000000000105e-02,2.166200000000000070e-02
2.000000000000000000e+02,4.334339999999999721e-02,3.309990000000000154e-02
5.000000000000000000e+02,1.064403000000000016e-01,4.939989999999999659e-02
1.000000000000000000e+03,2.094505999999999868e-01,6.616030000000000522e-02
2.000000000000000000e+03,4.299833000000000127e-01,9.368830000000000213e-02
5.000000000000000000e+03,1.022912499999999891e+00,1.653622999999999899e-01
1.000000000000000000e+04,2.124643600000000188e+00,2.134608000000000061e-01
2.000000000000000000e+04,4.047758899999999826e+00,2.554422000000000081e-01
5.000000000000000000e+04,7.512016299999999980e+00,2.848157000000000050e-01
1.000000000000000000e+05,9.896023700000000645e+00,2.636830000000000007e-01
1.000000000000000000e+06,1.487939420000000013e+01,1.619367999999999919e-01
