# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.712712999999999874e-01,5.731019999999999864e-02
2.000000000000000000e+02,3.125047000000000241e-01,7.564840000000000453e-02
5.000000000000000000e+02,6.270221999999999740e-01,9.221150000000000180e-02
1.000000000000000000e+03,9.686502999999999641e-01,1.091426999999999953e-01
2.000000000000000000e+03,1.290707999999999966e+00,9.553050000000000430e-02
5.000000000000000000e+03,1.684438499999999950e+00,8.043920000000000237e-02
1.000000000000000000e+04,1.934910700000000094e+00,7.935340000000000449e-02
2.000000000000000000e+04,2.144267199999999818e+00,7.425429999999999531e-02
5.000000000000000000e+04,2.381187199999999837e+00,7.910739999999999439e-02
1.000000000000000000e+05,2.502587300000000070e+00,5.809849999999999737e-02
1.000000000000000000e+06,2.953040300000000062e+00,7.477150000000000463e-02
