# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.371999999999999668e-04,6.672599999999999885e-03
2.000000000000000000e+02,1.663699999999999945e-03,9.363899999999999654e-03
5.000000000000000000e+02,4.418499999999999685e-03,1.540249999999999952e-02
1.000000000000000000e+03,8.874800000000000397e-03,2.197500000000000148e-02
2.000000000000000000e+03,1.774430000000000104e-02,3.130070000000000074e-02
5.000000000000000000e+03,4.530859999999999749e-02,4.933570000000000316e-02
1.000000000000000000e+04,8.732760000000000522e-02,6.823099999999999998e-02
2.000000000000000000e+04,1.706419000000000130e-01,8.072160000000000446e-02
5.000000000000000000e+04,4.098894000000000148e-01,1.291144999999999932e-01
1.000000000000000000e+05,7.821675000000000155e-01,1.642286000000000024e-01
