# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.370419999999999972e-02,1.942229999999999998e-02
2.000000000000000000e+02,2.586750000000000160e-02,2.580069999999999933e-02
5.000000000000000000e+02,6.355420000000000513e-02,4.177759999999999807e-02
1.000000000000000000e+03,1.291843000000000019e-01,6.203680000000000305e-02
2.000000000000000000e+03,2.151875000000000038e-01,7.092919999999999781e-02
5.000000000000000000e+03,4.419618000000000158e-01,9.005029999999999979e-02
1.000000000000000000e+04,6.337983000000000366e-01,9.278839999999999311e-02
2.000000000000000000e+04,8.457147999999999888e-01,8.700689999999999813e-02
5.000000000000000000e+04,1.035755900000000063e+00,9.093619999999999481e-02
1.000000000000000000e+05,1.192884800000000078e+00,6.342240000000000377e-02
1.000000000000000000e+06,1.597986899999999988e+00,7.930629999999999624e-02
