# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.498999999999999853e-04,4.226200000000000269e-03
2.000000000000000000e+02,8.270999999999999923e-04,5.786999999999999610e-03
5.000000000000000000e+02,2.292499999999999833e-03,9.538200000000000151e-03
1.000000000000000000e+03,4.332100000000000187e-03,1.314889999999999982e-02
2.000000000000000000e+03,8.616000000000000394e-03,1.865730000000000166e-02
5.000000000000000000e+03,2.105809999999999974e-02,2.885700000000000071e-02
1.000000000000000000e+04,4.230899999999999939e-02,4.161000000000000115e-02
2.000000000000000000e+04,8.438510000000000455e-02,5.795979999999999882e-02
5.000000000000000000e+04,2.084291000000000060e-01,8.062669999999999559e-02
1.000000000000000000e+05,4.017263999999999835e-01,1.098944000000000032e-01
