# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.423053999999999986e-01,4.735709999999999920e-02
2.000000000000000000e+02,2.624008999999999925e-01,6.777619999999999478e-02
5.000000000000000000e+02,5.318943000000000421e-01,7.442920000000000091e-02
1.000000000000000000e+03,8.380282999999999483e-01,8.121359999999999690e-02
2.000000000000000000e+03,1.105741000000000085e+00,8.770740000000000480e-02
5.000000000000000000e+03,1.395850299999999988e+00,6.677400000000000002e-02
1.000000000000000000e+04,1.509889500000000107e+00,5.483480000000000298e-02
2.000000000000000000e+04,1.593674700000000000e+00,4.232779999999999876e-02
5.000000000000000000e+04,1.671845400000000037e+00,3.706809999999999966e-02
1.000000000000000000e+05,1.729508199999999940e+00,4.467709999999999737e-02
1.000000000000000000e+06,2.248380099999999882e+00,8.204400000000000581e-02
