# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.091102999999999934e-01,5.009550000000000114e-02
2.000000000000000000e+02,1.935456000000000121e-01,6.509940000000000171e-02
5.000000000000000000e+02,4.060393999999999948e-01,9.190439999999999721e-02
1.000000000000000000e+03,6.670059000000000404e-01,9.973940000000000583e-02
2.000000000000000000e+03,9.798476000000000408e-01,1.122816999999999982e-01
5.000000000000000000e+03,1.501888700000000076e+00,1.161572000000000021e-01
1.000000000000000000e+04,1.761409000000000002e+00,9.352989999999999915e-02
2.000000000000000000e+04,1.959581699999999982e+00,8.629879999999999496e-02
5.000000000000000000e+04,2.234943299999999855e+00,8.871070000000000344e-02
1.000000000000000000e+05,2.497645599999999799e+00,1.011308999999999958e-01
1.000000000000000000e+06,3.105084999999999873e+00,7.097299999999999442e-02
