# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.566999999999999983e-04,5.338400000000000090e-03
2.000000000000000000e+02,1.739499999999999944e-03,7.175199999999999634e-03
5.000000000000000000e+02,4.426799999999999832e-03,1.146029999999999965e-02
1.000000000000000000e+03,9.042500000000000190e-03,1.642149999999999860e-02
2.000000000000000000e+03,1.831599999999999895e-02,2.326869999999999980e-02
5.000000000000000000e+03,4.451650000000000051e-02,3.622849999999999682e-02
1.000000000000000000e+04,8.850449999999999984e-02,4.968449999999999950e-02
2.000000000000000000e+04,1.713958999999999899e-01,6.457849999999999702e-02
5.000000000000000000e+04,3.966721000000000275e-01,8.775639999999999830e-02
1.000000000000000000e+05,6.864411000000000262e-01,1.117048000000000069e-01
