# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.983189999999999842e-02,3.106830000000000008e-02
2.000000000000000000e+02,1.024975000000000053e-01,4.505939999999999945e-02
5.000000000000000000e+02,2.514195000000000180e-01,6.606599999999999973e-02
1.000000000000000000e+03,4.662843999999999878e-01,9.647150000000000170e-02
2.000000000000000000e+03,8.409758999999999984e-01,1.232694000000000012e-01
5.000000000000000000e+03,1.737812300000000088e+00,1.617049999999999876e-01
1.000000000000000000e+04,2.825115499999999891e+00,1.885516999999999888e-01
2.000000000000000000e+04,4.133324199999999671e+00,1.936331000000000024e-01
5.000000000000000000e+04,5.573861899999999814e+00,1.466607000000000049e-01
1.000000000000000000e+05,6.313788500000000248e+00,1.371718000000000104e-01
1.000000000000000000e+06,7.883152299999999890e+00,1.096982999999999986e-01
