# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.936999999999999832e-04,1.956900000000000132e-03
2.000000000000000000e+02,5.808999999999999711e-04,2.764700000000000144e-03
5.000000000000000000e+02,1.508400000000000019e-03,4.394499999999999969e-03
1.000000000000000000e+03,3.176500000000000070e-03,6.425000000000000155e-03
2.000000000000000000e+03,6.149499999999999585e-03,8.988200000000000009e-03
5.000000000000000000e+03,1.488120000000000068e-02,1.240020000000000011e-02
1.000000000000000000e+04,3.014820000000000000e-02,1.746479999999999908e-02
2.000000000000000000e+04,5.871919999999999917e-02,2.350870000000000043e-02
5.000000000000000000e+04,1.449698000000000098e-01,3.635800000000000143e-02
1.000000000000000000e+05,2.727705000000000268e-01,4.971729999999999899e-02
