# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.069470000000000032e-02,4.274220000000000103e-02
2.000000000000000000e+02,7.741259999999999808e-02,5.042649999999999910e-02
5.000000000000000000e+02,1.959519999999999873e-01,8.014670000000000127e-02
1.000000000000000000e+03,3.877336000000000116e-01,1.047833999999999988e-01
2.000000000000000000e+03,7.288655000000000550e-01,1.439412999999999943e-01
5.000000000000000000e+03,1.589676799999999890e+00,1.966374999999999929e-01
1.000000000000000000e+04,2.480818499999999815e+00,2.037068999999999963e-01
2.000000000000000000e+04,3.372559799999999886e+00,1.942444000000000115e-01
5.000000000000000000e+04,4.348758400000000357e+00,1.657832999999999946e-01
1.000000000000000000e+05,4.969572399999999668e+00,1.720823999999999965e-01
1.000000000000000000e+06,6.714844099999999649e+00,1.327606000000000064e-01
