# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.376099999999999893e-03,7.909599999999999270e-03
2.000000000000000000e+02,2.970400000000000210e-03,1.154879999999999969e-02
5.000000000000000000e+02,7.036299999999999673e-03,1.783770000000000147e-02
1.000000000000000000e+03,1.477179999999999986e-02,2.580930000000000030e-02
2.000000000000000000e+03,2.798039999999999902e-02,3.531759999999999761e-02
5.000000000000000000e+03,6.946339999999999459e-02,5.483280000000000098e-02
1.000000000000000000e+04,1.371187000000000100e-01,6.681600000000000039e-02
2.000000000000000000e+04,2.724160999999999944e-01,9.038619999999999988e-02
5.000000000000000000e+04,6.140773000000000481e-01,1.312199000000000004e-01
1.000000000000000000e+05,1.065060200000000012e+00,1.623582000000000081e-01
