# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.722000000000000306e-04,5.937900000000000296e-03
2.000000000000000000e+02,9.141999999999999953e-04,7.485000000000000334e-03
5.000000000000000000e+02,2.462900000000000072e-03,1.225580000000000072e-02
1.000000000000000000e+03,4.788899999999999581e-03,1.724360000000000129e-02
2.000000000000000000e+03,9.814200000000000354e-03,2.452510000000000107e-02
5.000000000000000000e+03,2.368340000000000029e-02,3.789180000000000326e-02
1.000000000000000000e+04,4.798249999999999738e-02,5.471240000000000131e-02
2.000000000000000000e+04,9.630080000000000584e-02,7.630480000000000596e-02
5.000000000000000000e+04,2.322998000000000007e-01,1.186992999999999937e-01
1.000000000000000000e+05,4.679146000000000138e-01,1.531810000000000116e-01
