# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.864709999999999979e-02,2.148490000000000122e-02
2.000000000000000000e+02,3.418310000000000098e-02,2.815449999999999897e-02
5.000000000000000000e+02,8.726340000000000485e-02,4.286670000000000064e-02
1.000000000000000000e+03,1.755172999999999872e-01,6.318350000000000355e-02
2.000000000000000000e+03,3.486054000000000097e-01,8.578940000000000177e-02
5.000000000000000000e+03,7.344070000000000320e-01,1.151303000000000049e-01
1.000000000000000000e+04,1.367876400000000103e+00,1.323911999999999867e-01
2.000000000000000000e+04,1.892211599999999994e+00,1.289754999999999929e-01
5.000000000000000000e+04,2.604083300000000101e+00,1.080190000000000039e-01
1.000000000000000000e+05,2.860461799999999943e+00,6.287080000000000446e-02
1.000000000000000000e+06,3.102253699999999892e+00,1.741670000000000024e-02
