# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.396000000000000051e-04,2.124899999999999879e-03
2.000000000000000000e+02,2.924000000000000058e-04,3.067700000000000028e-03
5.000000000000000000e+02,6.333000000000000521e-04,4.537199999999999914e-03
1.000000000000000000e+03,1.341200000000000074e-03,6.575199999999999795e-03
2.000000000000000000e+03,2.575299999999999985e-03,9.070399999999999296e-03
5.000000000000000000e+03,6.585899999999999567e-03,1.454040000000000020e-02
1.000000000000000000e+04,1.266519999999999972e-02,2.032470000000000110e-02
2.000000000000000000e+04,2.466470000000000121e-02,2.818139999999999881e-02
5.000000000000000000e+04,6.310849999999999793e-02,3.954930000000000251e-02
1.000000000000000000e+05,1.257266999999999968e-01,5.587570000000000037e-02
