# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.012900000000000213e-03,1.095469999999999951e-02
2.000000000000000000e+02,6.402999999999999838e-03,1.609659999999999910e-02
5.000000000000000000e+02,1.613109999999999891e-02,2.589409999999999976e-02
1.000000000000000000e+03,3.172669999999999657e-02,3.584480000000000305e-02
2.000000000000000000e+03,6.320259999999999767e-02,4.329970000000000346e-02
5.000000000000000000e+03,1.584688999999999959e-01,6.760729999999999518e-02
1.000000000000000000e+04,3.110296000000000172e-01,9.740250000000000297e-02
2.000000000000000000e+04,6.178270999999999624e-01,1.350416999999999867e-01
5.000000000000000000e+04,1.427530200000000082e+00,1.977571999999999941e-01
1.000000000000000000e+05,2.718088299999999791e+00,2.591278000000000192e-01
1.000000000000000000e+06,8.842618999999999119e+00,2.349721999999999922e-01
