# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.554999999999999763e-04,3.208499999999999980e-03
2.000000000000000000e+02,5.150000000000000498e-04,4.612599999999999686e-03
5.000000000000000000e+02,1.249600000000000016e-03,7.216099999999999598e-03
1.000000000000000000e+03,2.538499999999999958e-03,1.005479999999999915e-02
2.000000000000000000e+03,4.914800000000000418e-03,1.400679999999999981e-02
5.000000000000000000e+03,1.181650000000000061e-02,2.206529999999999950e-02
1.000000000000000000e+04,2.363240000000000132e-02,3.084220000000000017e-02
2.000000000000000000e+04,4.864890000000000186e-02,4.422340000000000299e-02
5.000000000000000000e+04,1.196819999999999967e-01,6.919889999999999375e-02
1.000000000000000000e+05,2.345869999999999900e-01,8.655010000000000481e-02
