# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.534200000000000104e-03,5.873899999999999608e-03
2.000000000000000000e+02,3.176800000000000023e-03,8.405100000000000418e-03
5.000000000000000000e+02,7.452399999999999650e-03,1.283089999999999925e-02
1.000000000000000000e+03,1.540560000000000020e-02,1.864079999999999904e-02
2.000000000000000000e+03,2.994029999999999955e-02,2.175689999999999916e-02
5.000000000000000000e+03,7.422579999999999456e-02,3.480769999999999698e-02
1.000000000000000000e+04,1.500292000000000014e-01,4.671460000000000196e-02
2.000000000000000000e+04,3.057853999999999850e-01,6.915169999999999650e-02
5.000000000000000000e+04,7.103958000000000217e-01,9.806230000000000502e-02
1.000000000000000000e+05,1.364257099999999889e+00,1.328310000000000046e-01
1.000000000000000000e+06,5.242835900000000215e+00,1.470173999999999925e-01
