# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.106419999999999973e-02,1.509480000000000023e-02
2.000000000000000000e+02,2.168190000000000048e-02,2.101949999999999999e-02
5.000000000000000000e+02,5.384289999999999909e-02,2.901899999999999966e-02
1.000000000000000000e+03,1.062740999999999963e-01,3.997579999999999883e-02
2.000000000000000000e+03,2.024513000000000007e-01,5.630609999999999782e-02
5.000000000000000000e+03,4.526854000000000156e-01,7.642350000000000532e-02
1.000000000000000000e+04,7.291246999999999590e-01,8.390670000000000073e-02
2.000000000000000000e+04,1.032313700000000001e+00,8.129309999999999314e-02
5.000000000000000000e+04,1.327302699999999946e+00,6.318609999999999505e-02
1.000000000000000000e+05,1.480962099999999948e+00,5.164389999999999953e-02
1.000000000000000000e+06,1.949375000000000080e+00,6.407430000000000070e-02
