# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.588999999999999872e-04,3.086999999999999900e-03
2.000000000000000000e+02,1.000900000000000097e-03,4.532200000000000117e-03
5.000000000000000000e+02,2.643599999999999856e-03,7.404700000000000171e-03
1.000000000000000000e+03,4.929600000000000128e-03,1.007109999999999950e-02
2.000000000000000000e+03,9.571899999999999506e-03,1.413129999999999942e-02
5.000000000000000000e+03,2.404020000000000115e-02,2.177909999999999915e-02
1.000000000000000000e+04,4.718209999999999765e-02,3.027269999999999961e-02
2.000000000000000000e+04,9.124350000000000516e-02,3.888389999999999902e-02
5.000000000000000000e+04,2.090789999999999871e-01,5.400049999999999989e-02
1.000000000000000000e+05,3.581320000000000059e-01,6.546330000000000204e-02
