# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.263400000000000026e-03,5.946899999999999756e-03
2.000000000000000000e+02,2.397900000000000118e-03,8.083800000000000360e-03
5.000000000000000000e+02,6.266599999999999775e-03,1.330729999999999934e-02
1.000000000000000000e+03,1.196720000000000075e-02,1.816979999999999984e-02
2.000000000000000000e+03,2.446950000000000167e-02,2.591629999999999975e-02
5.000000000000000000e+03,5.847480000000000039e-02,3.481150000000000216e-02
1.000000000000000000e+04,1.113301000000000013e-01,4.733960000000000251e-02
2.000000000000000000e+04,2.117854000000000125e-01,6.409779999999999645e-02
5.000000000000000000e+04,4.555459000000000036e-01,8.516999999999999571e-02
1.000000000000000000e+05,7.149759999999999449e-01,9.972930000000000683e-02
