# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.687699999999999898e-03,7.538999999999999695e-03
2.000000000000000000e+02,5.647000000000000110e-03,1.096379999999999924e-02
5.000000000000000000e+02,1.386530000000000054e-02,1.715169999999999889e-02
1.000000000000000000e+03,2.764430000000000012e-02,2.112489999999999854e-02
2.000000000000000000e+03,5.229480000000000239e-02,2.810740000000000113e-02
5.000000000000000000e+03,1.213257999999999975e-01,4.273310000000000303e-02
1.000000000000000000e+04,2.092827999999999911e-01,5.230719999999999814e-02
2.000000000000000000e+04,3.403958000000000261e-01,6.227150000000000046e-02
5.000000000000000000e+04,5.399028000000000160e-01,6.557290000000000341e-02
1.000000000000000000e+05,7.165991000000000444e-01,7.235110000000000152e-02
