# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.779999999999999898e-05,6.715999999999999531e-04
2.000000000000000000e+02,4.319999999999999974e-05,1.046099999999999895e-03
5.000000000000000000e+02,9.139999999999999904e-05,1.520800000000000103e-03
1.000000000000000000e+03,2.157999999999999871e-04,2.331100000000000012e-03
2.000000000000000000e+03,3.249999999999999851e-04,2.854300000000000153e-03
5.000000000000000000e+03,9.700000000000000505e-04,4.971999999999999857e-03
1.000000000000000000e+04,1.721599999999999997e-03,6.611900000000000416e-03
2.000000000000000000e+04,3.684400000000000001e-03,9.697199999999999570e-03
5.000000000000000000e+04,8.981199999999999947e-03,1.503499999999999975e-02
1.000000000000000000e+05,1.841939999999999897e-02,1.873510000000000106e-02
