# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.984000000000000107e-03,1.168180000000000086e-02
2.000000000000000000e+02,6.164900000000000067e-03,1.680080000000000115e-02
5.000000000000000000e+02,1.512609999999999996e-02,2.622230000000000047e-02
1.000000000000000000e+03,3.060919999999999960e-02,3.739230000000000331e-02
2.000000000000000000e+03,6.132359999999999894e-02,5.349419999999999870e-02
5.000000000000000000e+03,1.482318999999999998e-01,6.937949999999999673e-02
1.000000000000000000e+04,3.093042999999999765e-01,1.036968000000000056e-01
2.000000000000000000e+04,6.288761000000000490e-01,1.506253999999999926e-01
5.000000000000000000e+04,1.675159599999999971e+00,2.695357999999999921e-01
1.000000000000000000e+05,3.577591899999999825e+00,3.659627999999999770e-01
1.000000000000000000e+06,9.949264499999999956e+00,2.071812000000000098e-01
