# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.960129999999999484e-02,4.422330000000000011e-02
2.000000000000000000e+02,1.924511999999999889e-01,6.527760000000000506e-02
5.000000000000000000e+02,4.907139999999999835e-01,9.836010000000000586e-02
1.000000000000000000e+03,7.038855000000000528e-01,8.901649999999999840e-02
2.000000000000000000e+03,1.189850099999999911e+00,1.386585999999999930e-01
5.000000000000000000e+03,1.770659699999999948e+00,1.198951000000000044e-01
1.000000000000000000e+04,2.220158899999999935e+00,7.820539999999999436e-02
2.000000000000000000e+04,2.566931299999999805e+00,8.790409999999999890e-02
5.000000000000000000e+04,3.132809500000000025e+00,1.006216999999999945e-01
1.000000000000000000e+05,3.304339899999999997e+00,7.871010000000000506e-02
1.000000000000000000e+06,4.002981499999999748e+00,6.359449999999999825e-02
