# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.513999999999999587e-04,5.920500000000000415e-03
2.000000000000000000e+02,9.233000000000000538e-04,7.851000000000000340e-03
5.000000000000000000e+02,1.987699999999999797e-03,1.133280000000000051e-02
1.000000000000000000e+03,4.161299999999999721e-03,1.658300000000000052e-02
2.000000000000000000e+03,8.104699999999999405e-03,2.258080000000000157e-02
5.000000000000000000e+03,2.038349999999999884e-02,3.596619999999999678e-02
1.000000000000000000e+04,3.990139999999999659e-02,4.999010000000000259e-02
2.000000000000000000e+04,8.177760000000000584e-02,7.277899999999999647e-02
5.000000000000000000e+04,2.019946999999999993e-01,9.725129999999999886e-02
1.000000000000000000e+05,3.880831000000000142e-01,1.393685000000000063e-01
