# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.743999999999999932e-04,3.582699999999999860e-03
2.000000000000000000e+02,7.045999999999999963e-04,4.917399999999999723e-03
5.000000000000000000e+02,1.868700000000000049e-03,7.901299999999999990e-03
1.000000000000000000e+03,3.591000000000000008e-03,1.105940000000000048e-02
2.000000000000000000e+03,7.321799999999999836e-03,1.582889999999999991e-02
5.000000000000000000e+03,1.838719999999999938e-02,2.512309999999999890e-02
1.000000000000000000e+04,3.597120000000000178e-02,3.470809999999999867e-02
2.000000000000000000e+04,7.086679999999999369e-02,4.812559999999999755e-02
5.000000000000000000e+04,1.762581000000000009e-01,6.761849999999999805e-02
1.000000000000000000e+05,3.343808999999999809e-01,9.162570000000000436e-02
