# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.937689999999999899e-02,2.017630000000000118e-02
2.000000000000000000e+02,4.164860000000000090e-02,2.908399999999999874e-02
5.000000000000000000e+02,1.039503999999999984e-01,4.396160000000000345e-02
1.000000000000000000e+03,2.019547999999999899e-01,6.266779999999999573e-02
2.000000000000000000e+03,3.844363000000000086e-01,7.902320000000000177e-02
5.000000000000000000e+03,8.912645999999999624e-01,1.219934000000000018e-01
1.000000000000000000e+04,1.622099600000000086e+00,1.795507000000000075e-01
2.000000000000000000e+04,2.944002300000000183e+00,2.441110999999999975e-01
5.000000000000000000e+04,6.242760500000000157e+00,3.507687999999999917e-01
1.000000000000000000e+05,9.572675300000000220e+00,3.090543000000000040e-01
1.000000000000000000e+06,1.452186359999999965e+01,1.775083000000000077e-01
