# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.390000000000000001e-04,3.339599999999999860e-03
2.000000000000000000e+02,6.616999999999999835e-04,4.642799999999999878e-03
5.000000000000000000e+02,1.625300000000000095e-03,7.320199999999999797e-03
1.000000000000000000e+03,3.446600000000000184e-03,1.050749999999999948e-02
2.000000000000000000e+03,6.866699999999999887e-03,1.503799999999999928e-02
5.000000000000000000e+03,1.655840000000000090e-02,2.338389999999999913e-02
1.000000000000000000e+04,3.272459999999999952e-02,3.265239999999999809e-02
2.000000000000000000e+04,6.657599999999999629e-02,4.695749999999999924e-02
5.000000000000000000e+04,1.641681999999999864e-01,6.475590000000000512e-02
1.000000000000000000e+05,3.332321999999999784e-01,9.200640000000000207e-02
